"date","home_team","away_team","home_score","away_score","round"
2020-08-09,262,282,0,1,1
2020-08-09,275,267,NA,NA,1
2020-08-09,277,280,1,1,1
2020-08-09,284,266,1,0,1
2020-08-08,292,354,3,2,1
2020-08-08,294,285,0,1,1
2020-08-08,356,293,0,2,1
2020-08-09,290,276,NA,NA,1
2020-08-12,266,275,1,1,2
2020-08-13,267,292,2,0,2
2020-08-13,276,356,1,0,2
2020-08-12,280,263,1,1,2
2020-08-12,282,264,3,2,2
2020-08-13,285,277,2,0,2
2020-08-12,265,294,1,0,2
2020-08-12,293,290,2,1,2
2020-08-12,354,284,1,1,2
2020-08-12,373,262,3,0,2
2020-08-16,266,285,2,1,3
2020-08-16,267,276,2,1,3
2020-08-15,275,290,1,1,3
2020-08-16,277,293,3,1,3
2020-08-16,282,354,2,0,3
2020-08-15,284,264,0,0,3
2020-08-16,265,280,2,1,3
2020-08-15,294,262,0,1,3
2020-08-16,356,263,0,0,3
2020-08-16,373,292,1,1,3
2020-08-19,262,284,1,1,4
2020-08-19,263,282,2,1,4
2020-08-20,276,265,1,1,4
2020-08-19,280,266,2,1,4
2020-08-19,264,294,3,1,4
2020-08-19,285,373,3,0,4
2020-08-20,292,277,0,1,4
2020-08-19,293,275,0,1,4
2020-08-20,354,267,0,3,4
2020-08-19,290,356,1,3,4
2020-08-23,262,263,1,1,5
2020-08-23,267,284,0,0,5
2020-08-23,275,277,2,1,5
2020-08-23,280,294,1,2,5
2020-08-26,264,356,1,1,5
2020-08-22,285,282,1,0,5
2020-08-23,292,276,0,1,5
2020-08-22,293,266,0,1,5
2020-08-23,354,265,2,0,5
2020-08-22,290,373,2,0,5
2020-08-29,266,267,2,1,6
2020-08-29,263,285,0,2,6
2020-08-30,276,264,2,1,6
2020-08-30,277,262,0,1,6
2020-08-29,282,293,NA,NA,6
2020-08-30,284,290,NA,NA,6
2020-08-29,265,275,1,1,6
2020-08-30,294,292,1,0,6
2020-08-29,356,280,3,0,6
2020-08-30,373,354,0,2,6
2020-09-02,266,373,1,1,7
2020-09-02,263,294,0,0,7
2020-09-02,275,285,1,1,7
2020-09-02,277,267,2,2,7
2020-09-03,282,276,3,0,7
2020-09-03,284,292,1,2,7
2020-09-02,265,262,3,5,7
2020-09-02,293,280,1,1,7
2020-09-02,354,356,1,0,7
2020-09-02,290,264,1,2,7
2020-09-05,262,356,NA,NA,8
2020-09-06,267,293,NA,NA,8
2020-09-06,276,266,NA,NA,8
2020-09-06,280,275,NA,NA,8
2020-09-05,264,263,NA,NA,8
2020-09-06,285,265,NA,NA,8
2020-09-06,292,290,NA,NA,8
2020-09-06,294,282,NA,NA,8
2020-09-05,354,277,NA,NA,8
2020-09-06,373,284,NA,NA,8
